"","Pose","Dominanz","Aktivitaet","Fuehrung","Moderator"
"1","high",0.148861103,0.233322069,-1.883974144,0.023309784
"2","low",-1.75656102,-1.663894062,0.034254076,1.950251956
"3","high",-0.327494428,1.171778152,1.130384486,-0.41180619
"4","low",0.466431457,-1.211733177,0.856351884,-0.660443889
"5","high",0.30764628,1.000843831,-0.513811131,0.168348442
"6","low",0.30764628,0.372621878,0.856351884,-0.473965615
"7","high",-0.803849958,-0.832045754,1.952482294,-0.846922164
"8","low",-0.803849958,1.158764967,0.308286678,0.831382308
"9","high",-1.121420312,-1.269518688,-0.239778527,-1.13699948
"10","low",0.625216634,1.341169647,0.308286678,-0.846922164
"11","high",0.942786988,0.946055509,0.582319281,0.748503075
"12","low",0.625216634,-0.549334227,-0.513811131,-0.846922164
"13","high",-0.803849958,-0.421829239,0.034254076,-0.846922164
"14","high",-0.009924074,0.293698368,-1.061876335,-0.121728874
"15","low",-0.327494428,-1.03537956,-1.60994154,0.271947484
"16","high",2.530638758,0.465480286,-0.239778527,2.198889655
